article_name,content,neighborhood,is_affordable
Plan Commission approves 800 W. Lake,"The Chicago Plan Commission has approved a mixed-use development proposed at 800 W. Lake. Located at the corner of W. Lake St and N. Halsted St, the new proposal comes from Ascend Real Estate Group and Intercontinental Real Estate Group after a previous plan for a hotel tower sputtered out during COVID. With GREC Architects leading the design, the 36-story mixed-use building will anchor the prominent corner standing 412 feet tall, with 406 apartments, ground floor retail space, 102 car parking spaces, and 406 bike parking spaces. The project’s unit mix includes 116 studios, 174 one-beds, and 116 two-beds. To meet affordability requirements, 81 of the residential units will be set aside as affordable with the developer working with the city to provide an additional 10% of affordable units. With an emphasis on verticality, the facade expression will be consistent throughout the height of the building, elongating the visual impression of the building while camouflaging the podium. As the building rises, geometric inflections at the corner add texture to the building and offer spaces for residential balconies.  At the street, the tower sets back from N. Halsted St to create relief at the corner and a small public open space. As a result of feedback from the Committee on Design, the retail space has been shifted to face the outdoor space and wrap around to W. Lake St, with the residential lobby set to occupy the building frontage along the western half of W. Lake St and wrap around to the western side of the building. A double height porte cochere will provide a drop-off zone for residents while also providing access to parking and loading. Bike parking has been added to the north side of the N. Halsted St frontage, providing direct access for cyclists to the bike parking spaces. The tower facade will be clad entirely in glass, with vertical fins gracing the facade in a way that reinforces the parti of two interlocking volumes creating the tower. When viewed at an angle, the fins start to be perceived as solid geometry and contrast from the structurally glazed window wall. Spandrel glazing will help the building meet energy code while reinforcing the glass expression of the facade. The ground floor facade has been redesigned, adding brick masonry around the columns at the base. The developers are seeking to rezone the site to DX-10 before reinstituting the Planned Development designation. Set to cost $230 million, the development will also pay $2.2 million into the Neighborhood Opportunity Fund to receive additional FAR. With Plan Commission approval secured, the proposal will now look to get approvals from the Committee on Zoning and City Council. The project is targeted for a June 2024 groundbreaking, with a 24-month construction timeline leading to a potential opening in Summer 2026. ",Fulton Market,1
Urbanize tours penthouses at The Row Fulton Market,"Urbanize returned to The Row Fulton Market to see the upper residences and penthouses at the top of the building. Overlooking Fulton Market and the surrounding city, the building at 164 N. Peoria was developed by Related Midwest with the design coming from Morris Adjmi Architects.  Starting on the 33rd floor, the Tier 3 model unit was a 3-bedroom, 2.5-bath layout measuring 1,650 square feet. Priced at a range of $6,495-$7,465 per month, the particular layout we viewed featured a southeastern view from the large living space and kitchen. One of the bedrooms was staged to show how residents could use it as a private home office in an era of working from home. Heading up to the 42nd floor, the first penthouse we toured measured almost 2,400 square feet with 3 bedrooms and 2.5 baths. The large living space and kitchen faces northeast, giving sweeping views of downtown and the lakefront going north, while the east-facing primary suite also features expansive views of downtown. 12-foot ceilings, motorized window shades, and heated floors in the primary suite bathroom are just a few of the luxury features in the penthouse that is listed for $15,250 per month. Our final stop was a 43rd floor penthouse featuring a northwest exposure in the main living space with bedrooms facing west. With 3 bedrooms and 2.5 baths, the almost 2,400 square foot layout would rent for $16,250 per month. While sharing many of the luxury features of the other penthouse, this configuration includes a 430-square-foot outdoor terrace that wraps around the northwest corner to give views west and north from the building. In our previous tour at the end of June, we saw the building’s amenity spaces which are on the sixth floor. Residents will have access to the Gather Room and connecting Study, which offer a range of seating configurations and workspace options ranging from booths to library tables to private conference rooms oriented around a three-sided fireplace; the Athletic Club, a fully equipped fitness center with adjacent Wellness Studio and two separate terraces for open-air workouts; the Playhouse, a colorful, interactive play area for children outfitted with toys, games and spaces for playdates and parties; and the Social Club, a reservable entertainment suite with adjacent terrace.  Outside, the 13,800-square-foot landscaped deck wraps the tower on three sides, featuring the west-facing lap pool with lounge seating; the three outdoor grilling kitchens tucked under pergolas and separated by high planters; the lounging hammocks; and the two fire pits overlooking the surrounding cityscape. With the first move-ins starting back in early June, the building is already 85% leased, with all of the affordable units rented. Four of the six penthouses have already been leased, with two layouts remaining. ",Fulton Market,0
Architects envision new intermodal riverwalk for Chicago River's south branch,"Chicago-area design firm DMAC Architecture has revealed an ambitious vision for bringing new open space and a riverwalk to the south branch of the Chicago River. Located just east of the office building at 300 S. Riverside Plaza, the concept was created in response to Amtrak's concept to reactivate an unused platform near Union Station and add egress stairs to street level. DMAC, working with property owner Third Millennium Group, saw the situation as a chance to create something special. ""We felt there is a solution for egress that can be satisfied in a much better way,"" DMAC founder and principal Dwayne MacEwen told Urbanize. ""You can't make this the 'back door' to Union Station. It should be the front door to the city and river. Chicago exists where it does because of the river. To not embrace it seemed like a missed opportunity."" The concept treats the need for new stairs as a starting point to extend a perimeter walkway around 300 S. Riverside and potentially down to the waterfront with a series of ramps. The upper terrace is envisioned as an outdoor dining area, while the lower levels serve as public gathering spaces and piers that could be used by kayakers, tour boats, and floating ""tree taxi"" islands. The walkways would allow train passengers to emerge from Union Station at river level, while an acoustic ""veil"" and baffle in front of the platforms would help absorb sound. A proposed pedestrian connection would pass beneath the Van Buren Street Bridge and provide access to the redeveloped Old Post Office property.  The landscaping takes inspiration from the location's existing features, which include wild vegetation growing on remnants of the sea caves—a series of sunken waterfront tunnels leftover when engineers reversed the flow of the Chicago River in 1900. The concept also takes advantage of intermodal connectivity at the site, which is served by trains, buses, boats, bicycles, and even helipads on the roof of 300 S. Riverside. Described by Third Millennium Group managing director Adam Mizrachi as a ""love letter to Chicago,"" the so-called Riverwalk@300SRP plan is still very much in the concept phase. Its designers hope renderings of the project can start a conversation about how to make it a reality.  ""This is a 'love letter,' so we're not at the altar yet,"" said MacEwen. ""Developers often look at a project from the standpoint of how it impacts the bottom line, but this is something that the city should want to do.""  ""It's ambitious, we know,"" added the architect. ""But there's also a sense that if phase one is adding the egress stairs from the train platform, let's do it in a way that still allows [the riverwalk] to happen later.""  Amtrak spokesperson Marc Magliari confirmed that have been discussions about activating the unused tracks under the Old Post Office as passenger platforms serving Union Station, but challenges remain and no decision has been made.  ""These tracks were designed to connect to the Old Post Office and not Union Station, so riders would have to cross active tracks to get to them,"" Magliari told Urbanize. ""We have to find a way to solve the issues of getting people from the station to the platform in a safe and accessible way."" Magliari also noted that nearby developments such as Bank of America Tower, Southbank, and The 78 already provide riverwalks on the opposite bank of the river. ""There's the question of where the city intends to build a continuous riverwalk for the south branch,"" Magliari said. This post has been updated with additional information from Amtrak. ",Downtown,0
Bradford Allen acquires The Henry in Ravenswood,"Bradford Allen Investment Advisors (BAIA) recently announced that it has closed on the purchase of The Henry, a mixed-use property at 4346 N. Honore in Chicago’s Ravenswood neighborhood. The five-story elevator building, completed in 2019 and located just steps away from the Montrose Brown Line CTA stop, includes 38 one- and two-bedroom luxury rental apartments and a ground-level Culver’s restaurant.  “The Henry’s Ravenswood location offers a neighborhood vibe and checks many of the boxes today’s renters desire, including modern amenities and easy access to bars, restaurants, shops and entertainment all located within a mile of the building,” said Morse. “We are excited to add this high-quality, newer construction, urban, transit-oriented property to our expanding Chicago-area multifamily portfolio.” Common resident amenities in the pet-friendly building include an indoor/outdoor rooftop lounge and terrace with built-in grills, a lobby lounge and bike storage room. Individual apartments feature in-unit laundry, custom cabinetry, subway tiling, quartz countertops and walk-in closets. At the time of purchase, the building was 97% occupied. Rents range from $1,751 to $3,000 per month. BAIA’s John Butler, executive managing director, acquisitions, and Danielle Morse, senior managing director, multifamily, negotiated the purchase on behalf of new ownership. The seller of the property was represented by Tyler Hague and Lauren Stoliar of Colliers. ",Ravenswood,0
City Council approves funding stack for Thrive Englewood,"The City Council has approved a redevelopment agreement for Thrive Englewood, a mixed-use affordable development at 914 W. 63rd. Currently vacant, the irregularly shaped site is located at the corner of W. 63rd St and W. 63rd Pkwy, just west of the Englewood Square Mall. Planned by DL3 Realty, the project is also south of the upcoming Englewood Connect Invest South/West project. With a design from Perkins & Will, the project is broken down into two phases. Phase 1 will consist of a six-story mixed-use building. Rising 74 feet, the structure will deliver 61 residential units with 2,400 square feet of ground floor retail. Two live/work units will round out the W. 63rd St frontage, with the residential lobby located along W. 63rd Pkwy. The unit mix for this phase will include 11 units at 50% AMI, 40 at 60% AMI, and 10 market-rate apartments.  Connected to Phase 1 via a shared lobby, Phase 2 will front W. 63rd Pkwy. Topping out at 65 feet, the five-story building will hold 47 affordable units as well as three live/work units, a fitness center, community room, and bike room all on the ground floor.  The site plan includes a surface parking lot behind the buildings for 58 cars, while a small set of 7 parking spaces will support the retail accessed just off of the street along the east end of the retail space. A landscaped space including a play structure and plaza will be located behind the Phase 2 building. With City Council approving of the financing and redevelopment agreement, the $32.6 million first phase will receive $5 million in TIF, $13.95 million in LIHTC tax credit equity, and $10.5 million in Multi-Family Loan Funds from the city. Further financing will include $2.3 million in a mortgage from BMO Harris Bank and other assorted grants and equity.  The City Council already approved the project’s rezoning and Planned Development application back in October. With all city approvals secured, the development team can look towards filing permits and beginning construction. With Bowa Construction on board as the general contractor, work is expected to begin before the end of the year with completion of Phase 1 scheduled for Q2 2024. ",Englewood,1
Westhaven Park IID breaks ground,"Developers Brinshore Development and The Michaels Organization recently celebrated the groundbreaking of Westhaven Park IID, with Alderman Walter Burnett Jr and representatives from the Chicago Department of Housing in attendance among others. Located at 145 N. Damen, the new mixed-income building will occupy a parcel at the corner of N. Damen Ave and W. Lake St, across from the future Damen Green Line. With Landon Bone Baker Architects on the project, the 12-story, mixed-use building will rise 136 feet. With three retail spaces on the ground floor, 96 units will be located on the upper floors. Planned as a mix of 63 affordable units and 33 market-rate apartments, the rentals will include one-bed and two-bed configurations. 16 car parking spaces will be provided on the ground floor as well as 106 bicycle parking spaces. The project’s design consists of a two-part volume, with the taller 12-story portion sited closer to the CTA tracks. At the southern end of the site, the shorter 4-story volume interlocks with the taller portion with a one story base setting it back from the street. The active retail uses front N. Damen Ave with the residential entry notched into at the intersection between the two building volumes.  The $41.2 million will be funded in part by a $10 million TIF payment from the city. General contractor McShane Construction Company already has the caisson permits in hand to begin work. A timeline for completion is currently unknown. ",Near West Side,1
Guinness Open Gate Brewery celebrates ribbon cutting,"Guinness recently celebrated the ribbon cutting ceremony for the Guinness Open Gate Brewery in Fulton Market. Located at 901 W. Kinzie, the former rail depot consists of a brewery, taproom, restaurant, and bakery housed in a 15,000-square-foot newly transformed space. This site will combine more than 260 years of brewing experience from Ireland, with cutting edge American brewing innovation, for a uniquely Chicago experience.  “This is an exciting step in the continuing evolution of the Guinness brand in America. It’s been a long journey, but we are so thrilled to be opening our doors this week and to contribute to Chicago’s world class food and beer scene,” said Rodney Williams, President of Diageo Beer Company. “As a Chicago native, I can confidently share that we aim to celebrate and showcase this great city and make a positive impact in the community, all while serving great beer.” Designed by Whitney Architects and Studio K Creative, the design of the building marries new and old, transforming a long vacant building into a state of-the-art facility, with a front patio with stairs reminiscent of Chicago’s Riverwalk steps, and a contemporary door with weathered steel finish. The space features a hand painted mural, complemented by a bubbly amber sculptural light fixture – a nod to the iconic foam atop a fresh pint of Guinness – which flows throughout the brewery. A nearly 10,000-pound harp sculpture with layered ambient lighting sits high above the main taproom bar.  Guests can expect 12-16 rotating experimental draughts, most of which will be brewed on site and exclusively available in the taproom, alongside signatures like Guinness Draught Stout, Guinness Extra Stout, and Guinness Foreign Extra Stout, which will always come straight from Dublin. Led by Brewer Megan Schwarz, the Chicago brewing team’s 10-barrel brewhouse is hard at work with an initial line-up including Corn Maize Cream Ale made from corn grown in Illinois’ Iroquois County, Kinzie Street Pale Ale, and a Mango Chile Ale. Guinness 0 Nonalcoholic Draught will also be available.  The culinary program will be led by Dream Team Hospitality, a joint venture by local industry veterans, with chef Taylor Bischof at the helm. The food menu draws inspiration from the brand’s Irish roots and global footprint, alongside reimagined Chicago classics. The site will offer morning bakery and café service daily, with an all-day restaurant menu available Wednesday through Sunday, as well as brunch on weekends.  Clune Construction served as the general contractor for the build-out. ",Fulton Market,0
City Council approves 2405 W. Grand,"The Chicago City Council has approved a rezoning for 2405 W. Grand. Bounded by W. Grand Ave to the north and N. Western Ave to the east, the property is currently a vacant site except for a billboard sign. Planned by RDM Companies, the billboard will be demolished as part of the development.  With a design from Kennedy Mann, the project will deliver a five-story, mixed-use building. Rising 70 feet, the development will include 4,745 square feet of retail space on the ground floor, with 40 dwelling units located on the floors above. The project’s unit mix will consist of 8 studios, 4 one-beds, 16 two-beds, and 12 three-beds.  Parking for the project will include 11 surface car parking spaces as well as approximately 35 indoor bike parking spaces. The developers will improve the pedestrian experience by adding new decorative planters and trees along the sidewalk as well as cornice and marquee style overhangs to provide pedestrians with protection from the weather. With City Council approval of the rezoning from M1-2 to C1-3, the development is one step closer to construction. The developers will need to seek a variation from the Zoning Board of Appeal to allow for the reduction of the rear setback from 30 feet to zero for floors containing residential units. ",West Town,0
1002 S. Racine scores full building permit,"A full building permit has been issued for 1002 S. Racine. Located at the southwestern corner of S. Racine Ave and W. Taylor St, the project is another installment of the Roosevelt Square Phase 3B development which has seen permits issued for the other three buildings planned at 1257 W. Roosevelt, 1357 W. Roosevelt and 925 S. Ada. Partnering with Chicago Housing Authority, the building is being developed by Related Midwest. Designed by Moody Nolan and Landon Bone Baker Architects, the new mixed-use building at 1002 S. Racine will rise six floors, holding approximately 10,000 square feet of retail space and 67 dwelling units. The apartments will be a mix of 17 CHA units for those making between 20 and 60% AMI and 50 market-rate units. Residents will have access to 33 parking spaces in a surface lot behind the building.  The massing of the building consists of multiple parts, including a three-story brick base that wraps the corner and ties into the neighborhood context, topped by a midrise portion that sets back from the street at an angle. Already signed by a local grocer, the retail space will face W. Taylor St. Tenants will enter the building through the residential entry along S. Racine Ave with their parking spots at the back of the site accessible via the alley.   With the reported $20 million building fully permitted, general contractor Bowa Construction can begin work on site. A timeline for completion has not been announced.  ",Near West Side,1
Foundation permit issued for 1217 W. Washington,"A foundation permit has been issued for a mixed-use development at 1217 W. Washington. Located between two adjacent historic buildings, the site is currently a vacant lot that overlooks the intersection of W. Washington Blvd and N. Willard Ct. DAC Developments is collaborating with Melrose Ascension Capital on the project.    Designed by Pappageorge Haymes, the project consists of a 19-story mixed-use tower. Expected to rise 213 feet, the tower will hold 4,000 square feet of retail space and 287 residential units. The apartment mix is expected to be approximately 45% studios, 35% one-bedrooms, and 20% two-bedroom rentals. The building will host 183 parking spaces for residential tenants. The building meets the ground with a four-story podium that will hold the ground floor retail space, residential lobby, and parking on the upper three floors. The street-facing facade will be made up of brick and punched window openings. The ground floor will open up with storefront glazing and a recessed entry protected by a glass canopy. Setback 25 feet from the street, the tower portion will be articulated with a metal frame pattern that contrasts with and projects from the glass facade. The top two floors will hold amenity space including indoor programming and an outdoor deck with pool. With a foundation permit hand, general contractor Focus Construction can get started on the $100 million development. With an approximate 18-month timeline, the development is set to wrap up in Spring 2024.  ",West Loop,0
Committee on Design reviews 12 W. Maple,"The Committee on Design has reviewed a proposal for a residential tower at 12 W. Maple. Planned by Fern Hill Company and Calmwater Capital, the project will be located just west of Mariano Park and the intersection of W. Maple St and N. State St. The tight site is currently occupied by a four-story masonry building and small one-story structure. With Lamar Johnson Collaborative as the architect, the new development will consist of a 34-story residential tower. Planned to rise 449 feet, the building will deliver 54 luxury condominium residences. Tenants will have access to 81 parking spaces accessed by two vertical car lifts managed by a dedicated valet. Amenities will be located at the 7th and 18th floors of the tower. Drawing from the context of the Gold Coast and the shores of Lake Michigan, the tower’s massing has been carved in strategic locations based on unit layouts and orientation of views to the east. The exterior terraces are anchored by landscape, providing native grasses on every terrace and trees at the 7th floor outdoor terrace. At the ground floor, special attention was paid to the pedestrian experience with high quality natural limestone and metal paneling brought down to the ground along the W. Maple St facade. The residential entry will be along the western end of the street frontage, with a curb cut placed to allow for cars to enter an internal motor court, bringing pick-up, drop-off, deliveries, and valet queuing off of the street. The discussion opened with John Ronan questioning the blank western wall created by placing the core along the western property line of the building. Ronan suggested that this blank wall seems unnecessary, and the corridor and elevators could be flipped to allow for a light-filled corridor facing west. Later in the discussion, Sara Beardsley suggested bringing some kind of activation or massing articulation to the west elevation so that the building wouldn’t seemingly turn its back on its neighbors to the west Brian Lee reiterated the idea of the building’s relation to its neighbors later saying the current design is thumbing its nose to the neighbors to the west and reconfiguring the core would be very helpful. John Ronan chimed in and asked if the core could be oriented east to west which could help achieve units with three-direction exposures. The design team responded that they can’t use any exposure facing west for light and ventilation requirements due to being up against the property line but reconfiguring the core could work well to improve the western elevation.  The next point came from Reed Kroloff who asked why there are so many car parking spaces in the project and whether the curb cut is really needed along W. Maple St. The design team responded that the parking ratio is in response to market demands and that the height of the parking podium allows for the amenity deck to sit just above the adjacent building to the east. In regard to the curb cut, the alley at the back of the site is narrow and is littered with dumpsters and interrupted by electrical poles, so two-way traffic through the alley would be very difficult. While introducing a curb cut was not the first choice, it would allow for vehicles to come off the street and reduce traffic.  Committee member Hana Ishikawa expressed concern for the landscaping planned for the building, discussing how it will be hard to have plantings underneath overhangs be viable in the long-term. Ishikawa also questioned how plantings within private homes could be maintained in the original design intent.  The design team from LJC responded that they have consulted with their in-house landscape architects and are considering the balance between protecting the grasses from the wind and ensuring their viability under the overhangs. With regard to upkeep, the developers plan to implement a program through the eventual HOA that will manage maintenance for the greenery and plantings within the building. The final comment came from Reed Kroloff who identified that the current design calls for natural limestone at the base and cost-effective precast concrete for the upper portion of the tower used to mimic limestone. Kroloff pointed out that those two materials will age and color differently resulting in a two-tone facade over time. Kroloff encouraged the design and development team to bring integrity to the facade by either bringing the limestone all the way up or taking the precast concrete panels down to the base. After this meeting, the project will continue going through the city review process, with these comments integrated into those future discussions. As the project looks to rezone the site, it will need approvals from the Chicago Plan Commission, Committee on Zoning, and City Council. The developers are looking to secure approvals before looking at a timeline for leasing and construction.  ",Gold Coast,0
Rental penthouses now leasing at The Belden-Stratford,"Leasing is now underway for a selection of just-released rental penthouses at The Belden-Stratford, the iconic Beaux-Arts apartment property in Chicago’s Lincoln Park neighborhood that reopened this year following a full-scale restoration and renovation. The six penthouse residences showcase unobstructed views of Lake Michigan and the Chicago skyline from the property’s upper floors, paired with thoughtfully designed floor plans and upscale finishes that complement historic structural details. “Our penthouse residences truly embody what makes The Belden-Stratford so special, from graceful spaces carefully appointed to appeal to today’s modern renters, to glimpses of this century-old building’s history and architecture, to an unmatched address in Lincoln Park that affords residents not only an amazing lifestyle, but also some of the very best views in the entire city,” said Ari Glass, head of real estate for Mansueto Office. Overlooking the Lincoln Park Zoo and Conservatory, the 16-story property was constructed in 1923 and is listed on the National Register of Historic Places. Designed by architect Meyer Fridstein, it originally opened as a residential hotel before eventually transitioning entirely to rental apartments. The Belden-Stratford was purchased in 2018 by Mansueto Office – the investment firm of Joe Mansueto, who was a resident of the property during the 1980s – and renovation work began in late 2020. Today, it comprises 209 luxury apartments, including studio, one-, two- and three-bedroom residences as well as a selection of penthouses with double-height living space, with monthly rents ranging from $2,500 to $15,000. Penthouse rents start at $7,250. The penthouses are located on the 15th floor, along the building’s entire east and south sides, and are topped by the building’s roof deck. The five remaining penthouse floor plans include two one-bedroom designs with one and 1 1⁄2 baths, respectively; a two-bedroom, two-bath layout; and two residences with two bedrooms, two baths and a den. All penthouse residences feature extra-high ceilings – including spaces with 17-foot ceilings with decorative beams – and double-height windows topped by paned arches, which, in addition to framing sweeping views of Lake Michigan and Lincoln Park, are also a notable architectural detail accenting the building’s mansard roofline. Penthouse interiors feature upscale island kitchens with GE Profile stainless steel appliances and quartz countertops; upsized window trim; custom closets with built-in shelving; and full-size in-unit washer and dryer. Complementing the penthouse lifestyle at The Belden-Stratford is the ambiance of the building’s many original features and finishes that were restored during the renovation process. In the ornate double-height lobby, gilded plaster molding and gold-leaf detailing were fully refurbished, as were marble paneling and entryways adorned with mirrored windows and walnut trim, which had been covered during previous renovations. In addition, hand-painted canvases that hung on the walls when the building first opened were recreated. The renovation also introduced a full suite of lifestyle amenities as the building was reimagined for modern renters. Housed in the historic property’s original common spaces, they include an elegant mezzanine-level lounge with an original arched picture window overlooking the Lincoln Park Conservatory; a double-height fitness center in what was once the building’s ballroom; a billiards and media lounge; wine tasting room; temperature-controlled wine storage room; and reservable conference rooms and meeting areas. Residents also have access to a rooftop sun deck featuring a wet bar, outdoor TV, two gas fireplaces, grilling stations and multiple seating areas, all overlooking the skyline, Lincoln Park and Lake Michigan. Additional resident offerings include Luxer One package service and on-site Tesla rentals. The Belden-Stratford is also home to Mon Ami Gabi, a popular French bistro with a direct connection to the building’s lobby, giving residents an elegant on-site dining option in addition to the variety of restaurants found in the surrounding neighborhood. For leasing information or to schedule a tour, visit www.BeldenStratford.com or call (844) 326-5908. An on-site leasing office is open daily by appointment only.   ",Lincoln Park,0
Demo permits issued for 344 N. Canal site,"Demolition permits have been issued for 344 N. Canal, the site of the current Cassidy Tire Building. Located on the west side of N. Canal St, between W. Kinzie St and W Fulton St, the site will be cleared of the five-story structure to make way for a new 33-story mixed-use tower.  Planned by Chicago-based The Habitat Company, the developers recently announced the acquisition of the property and joint venture with Diversified Real Estate Capital LLC.  Designed by Solomon Cordwell Buenz, the new 375-foot-tall mixed-use tower will mark the latest luxury residential project for Habitat in the neighborhood. Upon completion, the building will deliver 343 residential units, with a mix of studio, one- and two-bedroom units as well as ground floor retail space. Residents will have access to a robust amenity package of indoor and outdoor spaces as well as parking for 123 cars. With demolition permits issued, work can begin on the dismantling of the Cassidy Tire building. Groundbreaking for the new tower will follow the completion of demolition.   ",Fulton River District,0
Full building permit issued for 1505 N. Sedgwick,"A full building permit has been issued for a mixed-use development at 1505 N. Sedgwick. Located on a midblock site, the narrow property is located within a two-minute walk of the Sedgwick Brown Line stop. Developed by 1507 N Sedgwick LLC, a demolition permit issued in May paved the way to clear the way for the new construction.  Designed by Hanna Architects, the new building will stand four floors high, with 4 residential units and 800 square feet of office space that will front the street. The four residential units will include one three-bed duplex down at the back of the ground floor, while the remaining three residential units will occupy one floor each, all of them 3-bedroom configurations. 12 bike parking spaces will be located along the alley. The project received a series of approvals from the Zoning Board of Appeals in February, including a special use to allow for residential use below the second floor, a variation to reduce the rear setback from 30 feet down to 6 feet, and a variation to reduce the required parking spaces from four to zero as the site is a transit-served location. With the full building permit issued, general contractor 5 Seasons Development Company can begin work on the building. A timeline for completion is currently unknown. ",Old Town,0
Plan Commission approves 640 W. Irving Park,"The Chicago Plan Commission has approved the mixed-use development at 640 W. Irving Park. Conceived by KGiles LLC and CA Ventures, the development is located along N Marine Drive, between W Irving Park Road and W Bittersweet Place. With Level Architecture in charge of the conversion of the Immaculata School, the three attached buildings will be converted to hold 245 apartments, made up of mostly studios and one-beds with five two-bedroom configurations. 20% of the overall unit count, or 49 units, will be designated as affordable. Through the conversion, the main lobby stair will remain, but must be enclosed inside a vestibule to meet current fire codes. A rooftop deck will be added onto the 1956 school addition with a large setback from W. Irving Park Rd to reduce its visibility. A new elevator and stair penthouse will poke up above the roof to serve the new roof deck. Windows on the school buildings will be rehabilitated or replaced as needed with masonry tuckpointing also planned.  With a design from Perkins Eastman the new 22-story senior living tower, located on the parking lot behind the school, will contain 108 independent living units, 60 assisted living units, and 32 memory care units. 20% of the unit count, or 20 units, will be designated as affordable. The building is designed in an L-shape based on the site and to preserve views. Rising 250 feet, the tower will be clad in a mix of glass and textured metal paneling with punched window openings. The podium will rise the first five floors encased in a bronze-colored metal panel with brick veneer on the ground floor. A forecourt off W. Bittersweet Pl will be the main access for vehicles with a parking garage for 98 cars included. The $150 million project has recently garnered approvals from 46th Ward Alderman Cappelman as well as the Permit Review Committee for the work to the landmarked buildings. With approval from the Chicago Plan Commission secured, the next and final steps will be approvals from the Committee on Zoning and City Council. ",Buena Park,1
ZBA approves mixed-use building at 1800 W. Berenice,"The Zoning Board of Appeals has approved a variance for a mixed-use project at 1800 W. Berenice Avenue.  Led by Landrosh Development, the new building will replace an existing one-story masonry building. Located at the intersection of N. Ravenswood and W. Berenice Avenue, the new project site was approved for a zoning change from B2-1.5 to B2-3 this past March.  Designed by SGW Architecture and Design, the project will rise 80 feet over the course of six floors. The building’s scope will encompass approximately 3,000 square feet of ground food retail, roughly 10,000 square feet of private office suites on the second floor of the building, and 44 residential units above. On the ground floor, retail space will face N. Ravenswood Avenue, while parking for 25 cars will be provided behind the retail at grade. A parking lot behind the project is not part of the development. 40 bike parking spaces will be included in the project for tenants’ use.  Spread between the third through sixth floors, the residential unit mix will include four studios, 36 one-bedrooms, and four two-bedroom residences. Eight of the apartments will be designated as affordable. The building will be topped by a green roof and the west wall of the parking garage will feature a mural. The variance approved by the ZBA allows for the building’s rear setback to be reduced from the required 30 feet down to 16.5 feet. With this approval and a demolition permit in hand, work can move forward on site. Permits for the foundation and full building have been filed and are awaiting issuance. A completion date has not been announced. ",North Center,1
Mixed-use development planned for 629 W. Lake,"Plans have been revealed for a mixed-use development at 629 W. Lake St. Currently home to the Fast Track restaurant, the subject property is a slender lot at the southeastern corner of the intersection of W. Lake St and N. Desplaines St. Revealed through Alderman Reilly’s newsletter to constituents, the project’s developer was not mentioned. With a design from Axios Architects and Consultants, the new development will deliver an eight-story mixed-use building. Rising 123 feet, the building will hold 2,000 square feet of retail space and 49 residential units. The unit mix will consist of 19 studios, 17 one-beds, and 13 two-bedroom apartments. 49 bike parking spaces and 2 car parking spaces will be provided. Occupying the site lot line-to-lot line, the retail space will occupy the northern corner, facing both W. Lake St and N Desplaines St. The residential entry will front N. Desplaines St at about the center of the building. The building’s edifice will be made up of brick with a stone cornice. Metal and glass balconies will dot the facade, providing outdoor space for every unit. In order to permit the project, the developer will need to obtain a variation to reduce the building’s rear setback to zero and a special use to reduce the parking requirement. Permits for the building have been filed but are awaiting issuance pending the approval of variations. ",Fulton River District,0
Four-story apartment project headed to vacant lot on 43rd Street,"It's always encouraging to see vacant land bite the dust for new infill development. And in Bronzeville's Oakland community, an overgrown lot at 920 E. 43rd Street (also known as Muddy Waters Drive around those parts) is about to be replaced by a new four-story mixed-use building. Developed by D.O.M. Properties Investment, the plan consists of 3,800 square feet of street-level commercial space topped by 33 one-, two-, and three-bedroom apartments. The project, which was designed by Pro-Plan Architects, also includes parking spread across a ground-floor garage and a surface lot. This project is what is commonly called an ""as of right"" development, meaning it doesn't require any kind of zoning change or financial support from the city. These types of developments often materialize out of public view, but the developer behind  920 E. 43rd Street conducted a courtesy presentation for residents at a virtual meeting on Thursday hosted by Ald. Sophia King.  The four-story structure is close to breaking ground, according to developer Marcin Orpik of D.O.M. Properties Investment. ""Everything is approved,"" said Orpik. ""We are just waiting on [the final] paperwork."" The developer's website describes the project as ""brimming with expensive finishes and contemporary convenience"" that ""will honor the legacy of DOM’s high style design and solid craftsmanship."" The same development and architect recently broke ground on a similar ""as of right"" project a quarter-mile away at 4137-4159 S. Cottage Grove. Also replacing a vacant lot, the four-story evelopment includes 6,000 square feet of retail space, 48 apartments, and parking for 50 cars.  ",Oakland,0
Photos: A look inside Chinatown's new SpringHill Suites hotel,"Work is complete on Chinatown's new 148-room SpringHill Suites hotel, which was built as a four-story vertical expansion of an existing parking garage and retail strip. Located at 2353 S. Wentworth Avenue and steps from the Cermack-Chinatown CTA Red Line station, the 80,000-square-foot development operates under parent company Marriott International and is currently accepting reservations on its website. The SpringHill Suites project comes from developer ME Wentworth, LLC. The venture is led by investor Che Mei Wong, who paid $10.6 million for the property in 2017, according to Crain's Chicago Business. The new hotel was completed with minimal interruption to the existing structure's retail and office tenants by using deep micropile foundations to support the weight of the addition, said Summit Design + Build, which served as construction manager on the project. Chicago-based Vari Architects designed the new structure with some zen-inspired touches as a nod to the surrounding neighborhood. Amenities include a first-floor lobby and reception area, a gym, breakfast room, and meeting room. The newly-completed SpringHill Suites hotel isn't the only notable project along Wentworth Avenue. Several blocks to the north, the Chicago Department of Transportation continues to oversee work on the Wells-Wentworth Connector—a new north-south roadway that will connect Chinatown to the Loop.       ",Chinatown,0
