article_name,content,neighborhood
Exterior work nearly complete on Lakeshore East's Cirrus and Cascade towers,"In Lakeshore East, Magellan Development and Lendlease are putting the final touches on a pair of new residential high-rises known as Cirrus and Cascade.  The developers broke ground on the downtown towers in mid-2019 and worked through the pandemic to top off both structures in January of this year. Crews are currently wrapping up glass installation, interior build-out, and the project's publicly accessible green space known as ""Cascade Park."" Cirrus, the taller of the two towers, rises 47 stories at 211 N. Harbor Drive. It contains 350 condominiums offered in one-, two-, three- and four-bedroom floorplans ranging from 650 to over 3,000 square feet in size. Pricing starts in the mid-$400,000 range and can exceed $4 million for penthouse units. Cirrus will welcome residents this fall. The neighboring 37-story Cascade building at 455 E. Waterside Drive will contain 503 rental apartments in studio, one-, two, and three-bedroom layouts. Pre-leasing in the shorter tower is set to begin in the coming weeks with the first move-ins expected this summer. Both Cirrus and Cascade were designed by Lakeshore East-based bKL Architecture and feature glassy exteriors with vertical bronze and copper-colored metal accents. The towers sit atop a shared parking podium that is mostly concealed behind the elevated roadways of Lake Shore Drive and Harbor Drive.  Cascade Park is expected to open ahead of schedule this summer. Designed by Montreal landscape architects Claude Cormier + Associes, the 0.8-acre public amenity will provide a sloping pedestrian connection between Harbor Drive, Lower Lake Shore Drive, and the Lakefront Trail. Cirrus and Cascade are among the final buildings in the Lakeshore East masterplan. The duo will eventually be joined by a third bKL-designed residential skyscraper to the immediate north at ""Parcel I,"" although it's unclear when developers plan to break ground on the 85-story, 950-foot-tall tower. The final piece of the LSE puzzle is the ""Parcel O"" building slated for 193 N. Columbus Drive. Also developed by Magellan and designed by bKL, the roughly 500-foot high-rise will contain 629 residential units and 269 hotel rooms. The Parcel O project will break ground no sooner than October 2021, according to Ald. Brendan Reilly. ",Lakeshore East
City Council approves development at 3710 N. Ashland,"The Chicago City Council has approved a residential development proposed at 3710 N. Ashland. Planned by CorEtt Builders Corp, the project site is a midblock parcel north of W. Waveland Ave.  Designed by MC & Associates LLC, the new construction would be a four-story building with 21 units in the building. The northern half of the ground floor will have the residential entry in addition to private offices and storage space. The southern half would have three apartments, including one studio, one one-bed, and one two-bed. There will be 5 parking spaces along the alley for residents and 21 bike parking spaces inside. With a total of 21 rental units, the upper three floors will have six units per floor, with two studios, two one-beds, and two two-beds per floor. Studios will rent for $1,700/month, one-beds for $2,300/month, and two-beds for $3,200/month. Four of the units will be set aside as affordable. Topping out at 45 feet tall, the building will be full clad in brick with punched window openings. Balconies for the rear units will hang off the rear facade overlooking the alley. The building will be topped with a shared rooftop deck and green roof. With City Council approval secured, the site will be rezoned from C1-3 to B2-5. Demolition permits have already been issued to clear the site of its existing two-story frame structure and garage. ",Lakeview
Full building permit issued for development at 3037 N. Lincoln,"A full building permit has been issued for a new mixed-use development at 3037 N. Lincoln. Planned by 3027-37 LINCOLN LLC, the project will occupy a midblock site along N. Lincoln Ave between W. Wellington Ave and W. Barry Ave. Designed by Hanna Architects, plans or renderings for the new project have not been released, but the issued permit indicates that the project will be a four-story mixed-use building. The ground floor will have retail space as well as a garage with 15 parking spaces. The upper three floors will have 15 residential units with a rooftop deck for residents.  To make way for the project, a three-story masonry building at 3027 N. Lincoln, a two-story masonry building at 3029 N. Lincoln, and a three-story masonry building at 3037 N. Lincoln will all be demolished. Demolition permits were issued for the buildings back in July. With the new construction permit issued, general contractor Promised Land Development can begin construction of the new building. ",Lakeview
Permit issued for development at 3015 N. Southport,"A full building permit has been issued for a residential development at 3015 N. Southport. Currently a surface parking lot, the property is midblock along N. Southport Ave between W. Wellington Ave and W. Nelson St. Advent Properties LLC is the developer leading the project. Designed by Hanna Architects, the five-story building would stand approximately 55 feet tall clad in a combination of brick, cast stone, and fiber cement panels. The new seven residential units would consist of six three-bedroom configurations and a four-bedroom penthouse on the top floor. Each unit will have a private terrace and there will be seven parking spaces in the building for residents.  With the full building permit issued, general contractor Archway Builders Inc can begin construction and work through completion.  ",Lakeview
Zoning application filed for development at 3710 N. Ashland,"A zoning application has been filed for a residential development proposed at 3710 N. Ashland. Planned by CorEtt Builders Corp, the project site is a midblock parcel north of W. Waveland Ave. Demolition permits have already been issued to clear the site of its existing two-story frame structure and garage. Designed by MC & Associates LLC, the new construction would be a four-story building with 21 units in the building. The northern half of the ground floor will have the residential entry in addition to private offices and storage space. The southern half would have three apartments, including one studio, one one-bed, and one two-bed. There will be 5 parking spaces along the alley for residents and 21 bike parking spaces inside. With a total of 21 rental units, the upper three floors will have six units per floor, with two studios, two one-beds, and two two-beds per floor. Studios will rent for $1,700/month, one-beds for $2,300/month, and two-beds for $3,200/month. Four of the units will be set aside as affordable. Topping out at 45 feet tall, the building will be full clad in brick with punched window openings. Balconies for the rear units will hang off the rear facade overlooking the alley. The building will be topped with a shared rooftop deck and green roof. To allow for the scope of the development, the developers are seeking to rezone the site from C1-3 to B2-5. With the zoning application filed, the proposal will go before the Committee on Zoning and City Council. ",Lakeview
Zoning application filed for 925 W. Belmont,"Mavrek Development has submitted a zoning application for their proposed mixed-use development planned at 925 W. Belmont. The project site is located just east of the Belmont CTA L station and would replace the building that holds Belmont Army Vintage and Ann Sathers among other small businesses. With Eckenhoff Saunders leading the design, the 10-story proposal would stand 110 feet, down from the original 11-story, 120-foot-tall plan. The building’s massing has been adjusted to lower the height along W. Belmont Ave by two floors to just eight floors. The building’s facade will use a darker brick with differentiated glass expressions with less glass on the south side. The mixed-use development will have 200 apartments with a unit mix of approximately 43% studios, 20% convertibles, 28% one-beds, and 9% two-beds. On the ground floor, the building would front W. Belmont Ave with 9,655 square feet of retail space and the residential entry will be accessed on the westernmost end of the street frontage. The ground floor will also include bike storage and 33 parking spaces in an unenclosed surface parking lot partially underneath the building. On the second floor, residents will have access to a north-facing roof deck accessed via a lounge and test kitchen amenity space. The top floor will include more outdoor amenity space, an entertainment and resident lounge space, a fitness center, a business venter, and a dog run. To meet ARO requirements, at least 30 apartments will be set aside as affordable.  To allow for the scope of the development, Mavrek is seeking a rezoning from B3-3 to B3-5 with a Planned Development designation. Approvals will be needed from the Chicago Plan Commission, the Committee on Zoning, and City Council. ",Lakeview
Demo permits have been issued for buildings at 3037 N. Lincoln,"Demolition permits have been issued to clear the way for a new mixed-use development at 3037 N. Lincoln. Planned by 3027-37 LINCOLN LLC, the project will occupy a midblock site along N. Lincoln Ave between W. Wellington Ave and W. Barry Ave. Designed by Hanna Architects, plans or renderings for the new project have not been released, but permit filings indicate the project will be a four-story mixed-use building. The ground floor will have retail space as well as a garage with 15 parking spaces. The upper three floors will have 15 residential units with a rooftop deck for residents.  To make way for the project, a three-story masonry building at 3027 N. Lincoln, a two-story masonry building at 3029 N. Lincoln, and a three-story masonry building at 3037 N. Lincoln will all be demolished. Builder Luxury Inc will be the general contractor for the project who can begin clearing the site to make way for the project. The new construction permit has been filed and is awaiting issuance. ",Lakeview
Mixed-use development at 3605 N. Ravenswood scores permit,"A full building permit has been issued for a mixed-use development planned at 3605 N. Ravenswood. Planned by Macon Construction and Stocking Urban, the project site is located at the intersection of N. Ravenswood Ave and W. Addison St. Designed by Hirsch MPG, the new construction will stand six stories tall with 54 residential units. As a transit-oriented development, the building only includes 12 parking spaces and avoids the need for a large parking podium. The building has retail space facing W. Addison St with two live/work units along N. Ravenswood Ave. The residential entry will be along the northern end of the N. Ravenswood Ave street frontage and includes a bike room access.  The façade is composed of load bearing structural brick that is two different colors which creates a third layer to the façade independent from the brick and punched windows. The street corner of the building is highlighted by a large bay window that cantilevers out 5 feet from the façade, adding depth to the kitchen, dining, and living room area of that unit and also providing an overhang for the entry at the corner retail space and shelter from the elements for those waiting for the CTA bus at Addison. The top of the building has a shared amenity space for all building residents to enjoy that faces south and has panoramic views of the skyline. With a full building permit issued, Macon Construction, who is also serving as the general contractor, can begin the construction. The development is expected to open in late 2025. ",Lakeview
Demo permit issued to make way for proposed development at 3710 N. Ashland,"A demolition permit has been issued to make way for a proposed residential development at 3710 N. Ashland. Planned by CorEtt Builders Corp, the project site is a midblock parcel north of W. Waveland Ave. The permit will allow for the clearing of an existing three-story residential building and rear garage. Designed by MC & Associates LLC, the new construction would be a four-story building with 21 units in the building. The northern half of the ground floor will have the residential entry in addition to private offices and storage space. The southern half would have three apartments, including one studio, one one-bed, and one two-bed. There will be 7 parking spaces along the alley for residents and 21 bike parking spaces inside. With a total of 21 rental units, the upper three floors will have six units per floor, with two studios, two one-beds, and two two-beds per floor. Studios will rent for $1,700/month, one-beds for $2,300/month, and two-beds for $3,200/month. Four of the units will be set aside as affordable. Topping out at 45 feet tall, the building will be full clad in brick with punched window openings. Balconies for the rear units will hang off the rear facade overlooking the alley. The building will be topped with a shared rooftop deck and green roof. To allow for the scope of the development, the developers are seeking to rezone the site from C1-3 to B2-5. Approvals are still needed from the Committee on Zoning and City Council. With the demolition permit issued, general contractor Sitepro Services Inc can clear the property to make way for the new project. ",Lakeview
Lakeview Landing breaks ground at 835 W. Addison,"The developers and city officials recently celebrated the groundbreaking of Lakeview Landing, a mixed-use development at 835 W. Addison. Located at the intersection of W. Addison St and N. Reta Ave, the project will replace the existing Lakeview Lutheran Church. The church is collaborating with Evantson-based Over the Rainbow Association to execute the project. Designed by Weese Langley Weese, the six-story development will include 37 residential units and ground-floor religious assembly space. Rising 69 feet high, the dwellings inside will be disability-accessible affordable rental units. All of the units are 575-square-foot, fully accessible one-bedrooms for residents with income at or below 30% AMI and accessibility needs. The second floor will include a shared laundry room and offices.  The project will provide 10 parking spaces for residents. Landscaping will surround the building, with the site design including a pedestrian walkway along the south side of the building. The development will allow mobility-impaired adults to direct their own care and live independently in a residential community, as opposed to an institutional setting. Any personal care they may need will be self-directed, but with the assistance from a well-staffed resident service program that provides many quality of life and concierge services. The building will model an independent apartment building but be customized to be universally-designed and barrier-free, far exceeding current ADA standards. Specific features will include roll-in showers, pull-under sinks, accessible appliances, lower switches/outlets, windows and door handles. The building will also incorporate a variety of common space and market rate amenities. With the groundbreaking officially celebrated, construction is moving forward. A demolition permit was recently issued to clear the existing church structure. The full building permit for the new construction has already been issued, allowing general contractor Powers & Sons Construction to start the new building once the site is cleared. ",Lakeview
Mavrek adjusts plans for 925 W. Belmont,"Mavrek Development has revised their proposed mixed-use development planned at 925 W. Belmont. The project site is located just west of the Belmont CTA L station and would replace the building that holds Belmont Army Vintage and Ann Sathers among other small businesses. With Eckenhoff Saunders leading the design, the 11-story proposal has now been reduced by one floor down to 10 stories, reducing the building height from 120 feet down to 110 feet. The building’s massing has been adjusted to lower the height along W. Belmont Ave by two floors to just eight floors. The building’s facade has been adjusted to use a darker brick with differentiated glass expressions while reducing the amount of glass on the south side. With the design changes incorporated, the mixed-use development will have 200 apartments instead of 210. The unit mix is proposed at 43% studios, 20% convertibles, 28% one-beds, and 9% two-beds. On the ground floor, the building would front W. Belmont Ave with 9,655 square feet of retail space and the residential entry will be accessed on the westernmost end of the street frontage. The ground floor will also include bike storage and 33 parking spaces (down from 36 spaces) in an unenclosed surface parking lot partially underneath the building. On the second floor, residents will have access to a north-facing roof deck accessed via a lounge and test kitchen amenity space. The top floor will include more outdoor amenity space, an entertainment and resident lounge space, a fitness center, a business venter, and a dog run. To meet ARO requirements, at least 30 apartments will be set aside as affordable.  To allow for the scope of the development, Mavrek is seeking a rezoning from B3-3 to B3-5 with a Planned Development designation. Approvals will be needed from Alderman Lawson, the Chicago Plan Commission, the Committee on Zoning, and City Council. ",Lakeview
Full building permit issued at 455 W. Briar,"A full building permit has been issued for a residential development at 455 W. Briar. Occupying a midblock site N. Broadway and N. Sheridan Rd, the development is being planned by local developer GVP Development. With SGW Architecture & Design in charge of the architecture, the new building will rise 5 floors, while holding just 8 large units. The homes will occupy the upper four floors while the included 12 parking spaces will occupy the majority of the ground floor. The lobby and lower level of a duplex unit will round out the remaining space on the ground floor. Rising 77 feet to the top of the building’s penthouse, the project’s street-facing elevation has been designed with an aesthetic that is inspired by the early 20th century buildings of the neighborhood. The front facade is articulated with brick, stone accents, and stone cornices. The remaining elevations of the buildings are simply clad in brick.  With the foundation permit issued back in December, the issuance of the full building permit will allow for general contractor Maris Construction Corporation to begin construction and work through completion. ",Lakeview
Zoning approved for development at 3017 N. Southport,"The City Council has approved the rezoning for a residential development at 3017 N. Southport. Currently a surface parking lot, the property is midblock along N. Southport Ave between W. Wellington Ave and W. Nelson St. CA Ventures is the developer leading the project. Designed by Hanna Architects, the five-story building would stand approximately 55 feet tall clad in a combination of brick, cast stone, and fiber cement panels. The new seven residential units would consist of six three-bedroom configurations and a four-bedroom penthouse on the top floor. Each unit will have a private terrace and there will be seven parking spaces in the building for residents.  To allow for the project, the developer is going through a rezoning which will not change the underlying B2-3 zoning designation but will allow for an administrative adjustment and zoning variation. With full City Council approval, the development team can proceed with permitting and construction.  ",Lakeview
Demo permits issued for 3310 N. Lincoln,"Demolition permits have been issued for the two existing structures occupying the site of the approved mixed-use development at 3310 N. Lincoln. Located just north of the intersection of N. Lincoln Ave and W. School St, the project’s site is an irregularly shaped lot fronting the angled street. Planned by Mangan Builders, the former Rexx Rugs buildings will be demolished to clear the way for the new construction. With a design from Johnathan Splitt Architects, the new construction will encompass a six-story mixed-use building. Rising 83 feet, the project will front N. Lincoln Ave with approximately 1,500 square feet of retail space while holding 24 units on the upper floors. Split into 4 studios, 19 two-beds, and one three-bedroom unit, approximate rents will start at $1,050/month for studios, $1,480/month for two-beds, and $1,920/month for the three-bedroom unit. Five of the apartments will be designated as affordable units. The building will provide 7 car parking spaces and 24 bike parking spaces in an enclosed garage on the back of the ground floor accessed from the alley. Approvals from the ZBA have allowed the project to get a variation to reduce the rear setback on floors containing dwelling units from 30 feet to 7.21 feet. The demolition permits issued will allow demolition contractor Precision Excavation to demolish the three-story masonry building at 3310 N. Lincoln and the one-story masonry building at 3312 N. Lincoln to clear the site to make way for the new $7 million development. New construction permits for the project have been filed but are awaiting issuance. ",Lakeview
Zoning application introduced for development at 3017 N. Southport,"A zoning application has been submitted for a residential development at 3017 N. Southport. Currently a surface parking lot, the property is midblock along N. Southport Ave between W. Wellington Ave and W. Nelson St. CA Ventures is the developer leading the project. Designed by OKW Architects, the five-story building would stand 54 feet tall clad in a combination of brick and cast stone. The new seven residential units would consist of six three-bedroom configurations and a four-bedroom penthouse on the top floor. Each unit will have a private terrace and there will be seven parking spaces in the building for residents.  To allow for the project, the developer is seeking to rezone from B2-3 to B2-3 to reactivate a previously approved Type 1 Zoning Amendment for the property. The proposal will need approvals from the local alderman, Committee on Zoning, and full City Council before they could proceed with permitting and construction.  ",Lakeview
Alderman Martin supports development at 3710 N. Ashland,"Alderman Matt Martin has announced his support for a residential development that has been proposed at 3710 N. Ashland. Planned by CorEtt Builders Corp, the project site is a midblock parcel north of W. Waveland Ave. Demolition permits have been filed to clear the site of its existing two-story frame structure and garage. Designed by MC & Associates LLC, the new construction would be a four-story building with 21 units in the building. The northern half of the ground floor will have the residential entry in addition to private offices and storage space. The southern half would have three apartments, including one studio, one one-bed, and one two-bed. There will be 7 parking spaces along the alley for residents and 21 bike parking spaces inside. With a total of 21 rental units, the upper three floors will have six units per floor, with two studios, two one-beds, and two two-beds per floor. Studios will rent for $1,700/month, one-beds for $2,300/month, and two-beds for $3,200/month. Four of the units will be set aside as affordable. Topping out at 45 feet tall, the building will be full clad in brick with punched window openings. Balconies for the rear units will hang off the rear facade overlooking the alley. The building will be topped with a shared rooftop deck and green roof. To allow for the scope of the development, the developers are seeking to rezone the site from C1-3 to B2-5. With approval from Alderman Matt Martin, the proposal can proceed to the Committee on Zoning and City Council. CorEtt Builders Corp will also be serving as the general contractor and has applied for a demolition permit. Construction is expected to begin in March 2024 and be completed by January 2026. ",Lakeview
Full building permit issued for 3347 N. Southport,"A full building permit has been issued for a mixed-use development at 3347 N. Southport. Located midblock between W. Roscoe St and W. Henderson St, the project site is within a block of the Southport CTA Brown Line stop. Planned by Surf Development Corporation, the project will replace a currently vacant lot after the previous structure was demolished.  Designed by LeVaughn + Associates Architects, the new development will rise five floors, measuring 54 feet tall. The ground floor will provide approximately 4,200 square feet of commercial space with four parking spots off the alley. On the upper floors, 27 apartments will be split into 21 studios and 6 one-beds. Residents will have balconies in select units and bike parking for 28 bicycles will be located in the basement. With the foundation and full building permits issued, Surf Development Corporation, also acting as the general contractor, can begin construction on the building. A timeline for completion has not been announced. ",Lakeview
Full building permit issued for 3951 N. Wayne,"A full building permit has been issued for the residential development planned at 3951 N. Wayne. Located at the southeast corner of N. Wayne Ave and W. Irving Park Rd, the trapezoidal site is currently home to a one-story retail building that has up to now held a Burger King, whose lease has ended. Wayne 531 LLC is the developer of the property. Designed by Axios Architects and Consultants, the new construction building will stand four stories tall with 31 residential units. The ground floor will have four residential units facing N. Wayne Ave with the residential entry in the middle of the frontage. Behind the units, 31 parking spaces are accessed from N. Lakewood Ave which is effectively an alley. An interior bike room is located along W. Irving Park for the residents’ use.   The four-story building is clad in a mix of brick and decorative cast stone, with balconies on the east and west elevations of the building for select residential units. The fifth floor has a series of roof decks for residents to use as well. The Zoning Board of Appeals recently approved a series of variations to allow for the development to move forward. With the demolition permit issued, and the one-story structure cleared, the issuance of the full building permit will allow general contractor Vivify Construction to begin the new development. ",Lakeview
ZBA approves variance for 3310 N. Lincoln,"The Zoning Board of Appeals has approved a variation for the mixed-use development at 3310 N. Lincoln. Located just north of the intersection of N. Lincoln Ave and W. School St, the project’s site is an irregularly shaped lot fronting the angled street. Planned by Mangan Builders, the former Rexx Rugs buildings will be demolished to clear the way for the new construction. With a design from Johnathan Splitt Architects, the new construction will encompass a six-story mixed-use building. Rising 83 feet, the project will front N. Lincoln Ave with approximately 1,500 square feet of retail space while holding 24 units on the upper floors. Split into 4 studios, 19 two-beds, and one three-bedroom unit, approximate rents will start at $1,050/month for studios, $1,480/month for two-beds, and $1,920/month for the three-bedroom unit. Five of the apartments will be designated as affordable units. The building will provide 7 car parking spaces and 24 bike parking spaces in an enclosed garage on the back of the ground floor accessed from the alley. With approval from the ZBA, the project will get a variation to reduce the rear setback on floors containing dwelling units from 30 feet to 7.21 feet. With the rezoning approved in 2022 and the variation now approved from the ZBA, the developers can move forward with the approximately $7 million development. Permits for the project have been filed, but a timeline for construction is currently unclear. ",Lakeview
The Ludlow celebrates ribbon cutting in Lincoln Park,"Alderman Hopkins joined developer Heart of America Group to celebrate the ribbon cutting of The Ludlow, the residential conversion of the Ludlow Typograph Building at 2032 N. Clybourn.  The structure was designated as a Chicago landmark back in May 2022, with its exterior facade protected by the designation. Built and expanded over time, the original portion was constructed in 1913 with a design by Alfred S. Alschuler. Subsequent additions came in 1918, 1921, 1928, and 1948 as the company expanded. With GREC Architects designing the project, the converted building is now home to 121 loft apartments in addition to 20,000 square feet of commercial space. With a mix of studios, one-beds, two-beds, and three-beds, the units will feature high-end finishes, 12-foot ceilings, large windows, and select units will have access to private terraces.  Amenities include a rooftop lounge with an omakase’ lounge, a fitness center with infrared sauna & yoga studios offering weekly fitness & yoga classes, a demonstration kitchen, media room, coworking lounge, EV charging stations, bike storage and repair station, and concierge options. Move-ins have begun and though the leasing team has been accepting applications for just a couple of weeks, the building is on track to reach 25% lease-up soon.  ",Lincoln Park
Developer celebrates groundbreaking of 537 W. Drummond,"Developer Moyer Properties recently celebrated the groundbreaking of their latest residential development located at 537 W. Drummond. Set to replace the parking lot behind the Covent Hotel, the project site is located at the corner of W. Drummond Pl and N. Lehman Ct. Designed by ParkFowler Plus, formerly Brininstool + Lynch, the seven-story residential building will stand 80 feet tall. Planned as a residential-only building, it will deliver 84 new market-rate units, split into 12 studios, 54 one-beds, and 18 two-beds. Since the project’s approval predates the ARO, the project does not require affordable units, but the developer is including two affordable units.  Encased in a brick cladding with an aluminum window system, the facade will be interrupted with balconies inset at the corners along W. Drummond Pl and hanging off the rear elevation. On the ground floor, the residential lobby and amenity space will front W. Drummond Place with 84 bike parking spaces included. 52 car parking spaces will be included on the site, with most inside an interior parking garage on the ground floor. The developer recently secured a $29 million construction loan from lender Principal Financial for the development. With Summit Design & Build serving as the general contractor, construction is expected to wrap up in March 2026. ",Lincoln Park
Renderings emerge for mixed-use development at 405 W. Armitage,"Renderings have been released for a new mixed-use development underway at 405W. Armitage. Planned by Barrett Homes, the project site is located at the intersection of W. Armitage Ave, N. Sedgwick St, and N. Lincoln Ave. Formerly home to a CVS, the existing retail building was recently demolished to make way for the new development. Designed by 360 Design Studio, the four-story building will have new retail space on the ground floor with six residential condominiums on the upper three floors. The residents will have access to 12 car parking spaces and 13 bike parking spaces inside a garage within the ground floor of the building. The residential entry will be located along W. Armitage Ave with corner retail facing N. Sedgwick St and W. Armitage Ave. Renderings show the building will be clad with light-colored stone around the ground floor, with the garage portion to the west clad in more typical common brick masonry. The upper floors will be a light colored face brick with brick detailing and stone accents. Private decks for the units will be located above the garage oriented towards the west side of the site. With full permits issued for the project, Barrett Homes, who is also serving as the general contractor, has already begun construction and can work through completion.  ",Lincoln Park
City Council approves mixed-use development at 2600 N. Clark,"The Chicago City Council has approved a mixed-use development at 2600 N. Clark. Located at the intersection of W. Wrightwood Ave and N. Clark St, the project is being planned by Chicago Development Partners. The project site currently hosts a set of vacant one-story commercial buildings.  Rising 80 feet tall, the new seven-story building will hold 66 residential units, split into 32 studios, 32 one-beds, and 2 two-beds. 20% of the units will be affordable at an average of 60% AMI to meet ARO requirements.  On the ground floor, commercial space will front N. Clark St and W. Wrightwood Ave with the residential lobby at the north end of the building. Residents will have access to a bike room with 75 bike spaces and a ground floor parking garage with 10 parking spaces accessed from the alley on the north side of the property. The project will widen the sidewalk along N. Clark St, create a 17-foot setback at the corner to improve visibility, add more landscaping to N. Clark St, and re-establish a loading zone on W. Wrightwood Ave.  With approval from the City Council secured, the site will be rezoned from B1-2 to B3-5. A timeline for construction is currently unknown and no permits have been filed for construction. ",Lincoln Park
Residential development at 537 W. Drummond secures financing,"A $29 million construction loan has been secured for a residential development located at 537 W. Drummond. Planned by Moyer Properties, the construction loan from lender Principal Financial will allow for the development to move forward, replacing the parking lot behind the Covent Hotel at the corner of W. Drummond Pl and N. Lehman Ct. Designed by ParkFowler Plus, formerly Brininstool + Lynch, the seven-story residential building will stand 80 feet tall. Planned as a residential-only building, it will deliver 84 new market-rate units, split into 12 studios, 54 one-beds, and 18 two-beds. Since the project’s approval predates the ARO, the project does not require affordable units, but the developer is including two affordable units.  Encased in a brick cladding with an aluminum window system, the facade will be interrupted with balconies inset at the corners along W. Drummond Pl and hanging off the rear elevation. On the ground floor, the residential lobby and amenity space will front W. Drummond Place with 84 bike parking spaces included. 52 car parking spaces will be included on the site, with most inside an interior parking garage on the ground floor. With Summit Design & Build serving as general contractor, construction is expected to begin imminently. According to reports from Crain’s, the project is expected to open in March 2026.\ ",Lincoln Park
Alderman Knudsen approves DePaul Basketball practice facility,"Alderman Timmy Knudsen has officially announced his approval of the DePaul Basketball practice facility. Planned for the northwest corner of W. Belden Ave and N. Sheffield Ave, the new facility will rise across the street from the current Sullivan Athletic Center. The site is home to four 1890s row houses as well as a 1925 courtyard building on the corner of W. Belden Ave and N. Sheffield Ave, all of which are owned by DePaul University. Designed by HNTB and Antunovich Associates, the new basketball facility will feature a brick façade that mirrors the aesthetic of the Lincoln Park neighborhood, with a pitched roof that pays homage to DePaul's former Lincoln Park arena, Alumni Hall. Floor-to-ceiling glass around the basketball gyms will offer views of the surrounding neighborhood and wider city context. The design has been tweaked with a refined brick facade design at the base of the building with large windows to make the activity in the building more visible from the street. The footprint of the building was also reduced so that the sidewalk could be widened for new landscaping and benches. Higher environmental standards and green amenities include bird-friendly glass and rooftop solar panels that will decrease energy use by more than 10%. Throughout the community engagement process, one of the main issues has been the planned demolition of the existing structures which include four 1890s rowhomes and a 1925 courtyard building. As a result of negotiations, DePaul will invest in the formal landmarking of the exteriors of Byrne Hall and Cortelyou Commons. Additionally, DePaul has also committed to preserving O’Connell Hall for future generations with an investment of several million dollars in maintaining its historic facade and other necessary upgrades. For the community, DePaul has reignited its ongoing commitment to engage with its neighbors. The Plan of Operation for the Proposed DePaul Facility includes a re-commitment by DePaul to community benefits they have provided for years, such as hosting public services like the post office and library, free neighborhood parking, discounted memberships to the Ray Meyer fitness center, and direct financial support to local nonprofits. In addition, this proposal outlines new community benefits such as expanded use of DePaul-owned facilities for youth sports leagues and community stakeholders and additional direct financial support to local nonprofits.  Expanding their commitment to community organizations, DePaul has agreed to provide use of McGrath-Phillips Arena or Wish Field for an annual event to each of seven Community Stakeholders. In addition to their investment in making an environmentally sound building, I am proud to share that DePaul has agreed to my office’s request that they install a significant number of electric vehicle charging stations on campus. These stations will be accessible to the public and operated by a vendor selected by the university. With approval from Alderman Timmy Knudsen secured, the $60 million project can seek city approvals from the Chicago Plan Commission, Committee on Zoning, and City Council. If approved, the demolition of buildings on site would not begin until Summer 2025 at the earliest. Construction of the new facility would begin after demolition is done and is expected to be completed by Fall 2026.  ",Lincoln Park
Demo permit issued to make way for development at 1055 W. Diversey,"A demolition permit has been issued to clear the former church building at 1055 W. Diversey. Planned by Contemporary Concepts Inc, the development is located at the southeast corner of W. Diversey Pkwy and N. Seminary Ave and will replace the church building. Designed by Studio Dwell Architects, the new development would stand five stories tall with 24 residential units. The residential units will be split into one one-bed, nine two-beds, 13 three-beds, and one four-bedroom unit. While four units will be set aside as affordable, the market rate units will be priced at $3000/month for two-beds, $4,000-$4,200/month for three-beds, and $5,500/month for the four-bedroom unit. Rising approximately 65 feet tall, the five-story building will be clad in brick with metal accent panels and a sawtooth brick pattern accent on the ground floor. The windows on the ground floor will feature limestone surrounds.  The building’s residential entry will front N. Seminary Ave, with five residential units and a bike room for 7 bikes on the ground floor. A single accessible parking space will be located along the alley. Two of the ground floor residential units will have private terraces. The development received City Council approval to rezone the site from RT-4 to B2-3 back in May 2024. With the full building permit already issued, the issuance of the demolition permit will allow Contemporary Concepts, who will also be the general contractor, to clear the site and begin new construction. ",Lincoln Park
Full building permit issued for development at 1055 W. Diversey,"A full building permit has been issued for a residential development at 1055 W. Diversey. Planned by Contemporary Concepts Inc, the project site at the southeast corner of W. Diversey Pkwy and N. Seminary Ave is currently occupied by a former church building whose congregation is moving to a different location.  Designed by Studio Dwell Architects, the new development would stand five stories tall with 24 residential units. The residential units will be split into one one-bed, nine two-beds, 13 three-beds, and one four-bedroom unit. While four units will be set aside as affordable, the market rate units will be priced at $3000/month for two-beds, $4,000-$4,200/month for three-beds, and $5,500/month for the four-bedroom unit. Rising approximately 65 feet tall, the five-story building will be clad in brick with metal accent panels and a sawtooth brick pattern accent on the ground floor. The windows on the ground floor will feature limestone surrounds.  The building’s residential entry will front N. Seminary Ave, with five residential units and a bike room for 7 bikes on the ground floor. A single accessible parking space will be located along the alley. Two of the ground floor residential units will have private terraces. The development received City Council approval to rezone the site from RT-4 to B2-3 back in May 2024. With the full building permit now issued, Contemporary Concepts Inc, who is also serving as the general contractor, can begin construction which is expected to last about one year. ",Lincoln Park
